Character,Rank,Votes,Pool year,Total nomber of votes
Monkey D. Luffy,1,8055,1999,36000
Monkey D. Luffy,1,11136,2002,51873
Monkey D. Luffy,1,12844,2006,50804
Monkey D. Luffy,1,7065,2009,42116
Monkey D. Luffy,1,9183,2015,69472
Monkey D. Luffy,1,11737,2017,80000
Monkey D. Luffy,1,1637921,2021,12000000
Roronoa Zoro,2,7260,1999,36000
Roronoa Zoro,2,10982,2002,51873
Roronoa Zoro,2,8225,2006,50804
Roronoa Zoro,2,5645,2009,42116
Roronoa Zoro,3,7997,2015,69472
Roronoa Zoro,2,10442,2017,80000
Roronoa Zoro,2,1445034,2021,12000000
Nami,5,4213,1999,36000
Nami,5,2360,2002,51873
Nami,7,1983,2006,50804
Nami,6,1958,2009,42116
Nami,8,2173,2015,69472
Nami,8,3269,2017,80000
Nami,3,1085141,2021,12000000
Usopp,8,781,1999,36000
Usopp,6,1957,2002,51873
Usopp,6,2621,2006,50804
Usopp,11,1034,2009,42116
Usopp,13,1023,2015,69472
Usopp,15,1409,2017,80000
Usopp,15,131090,2021,12000000
Sanji,4,4300,1999,36000
Sanji,3,9676,2002,51873
Sanji,3,6235,2006,50804
Sanji,3,5547,2009,42116
Sanji,4,7154,2015,69472
Sanji,3,10215,2017,80000
Sanji,4,970286,2021,12000000
Tony Tony Chopper,0,0,1999,36000
Tony Tony Chopper,4,4428,2002,51873
Tony Tony Chopper,4,2725,2006,50804
Tony Tony Chopper,4,3362,2009,42116
Tony Tony Chopper,7,3336,2015,69472
Tony Tony Chopper,7,3301,2017,80000
Tony Tony Chopper,16,116364,2021,12000000
Nico Robin,0,0,1999,36000
Nico Robin,11,722,2002,51873
Nico Robin,5,2644,2006,50804
Nico Robin,7,1944,2009,42116
Nico Robin,11,1253,2015,69472
Nico Robin,12,1952,2017,80000
Nico Robin,6,599835,2021,12000000
Franky,0,0,1999,36000
Franky,0,0,2002,51873
Franky,13,600,2006,50804
Franky,13,715,2009,42116
Franky,16,711,2015,69472
Franky,20,861,2017,80000
Franky,28,66398,2021,12000000
Brook,0,0,1999,36000
Brook,0,0,2002,51873
Brook,0,0,2006,50804
Brook,9,1307,2009,42116
Brook,19,553,2015,69472
Brook,19,936,2017,80000
Brook,26,75741,2021,12000000
Jinbe,0,0,1999,36000
Jinbe,0,0,2002,51873
Jinbe,0,0,2006,50804
Jinbe,110,0,2009,42116
Jinbe,35,0,2015,69472
Jinbe,6,3884,2017,80000
Jinbe,18,102354,2021,12000000
